,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.KES.price,quote.KES.volume_24h,quote.KES.volume_change_24h,quote.KES.percent_change_1h,quote.KES.percent_change_24h,quote.KES.percent_change_7d,quote.KES.percent_change_30d,quote.KES.percent_change_60d,quote.KES.percent_change_90d,quote.KES.market_cap,quote.KES.market_cap_dominance,quote.KES.fully_diluted_market_cap,quote.KES.tvl,quote.KES.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10469,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19487812.0,19487812.0,False,,1,,,,2023-09-17T00:51:00.000Z,3857539.7306603207,1056217058150.4131,-37.1134,-0.1648089,-0.54241039,2.52325839,-0.59917785,-11.68254723,0.63866154,75175009053638.95,48.8629,81008334343866.33,,2023-09-17T00:52:04.000Z,,,,,,2023-09-17 03:52:53.032318
1,1027,Ethereum,ETH,ethereum,7392,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120223330.91137579,120223330.91137579,True,,2,,,,2023-09-17T00:51:00.000Z,236836.85683558363,425412664566.33795,-32.6576,-0.43852387,-0.95469127,-0.22257765,-3.5503564,-14.68109344,-5.3755683,28473315811354.5,18.5072,28473315811354.72,,2023-09-17T00:52:04.000Z,,,,,,2023-09-17 03:52:53.032318
2,825,Tether USDt,USDT,tether,62368,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83041923535.66393,85437198726.47841,True,,3,,,,2023-09-17T00:51:00.000Z,145.5421890727007,2081274979754.9863,-26.1605,0.0086163,-0.01232275,0.05809769,0.03481438,0.02667626,0.03902594,12086103336188.352,7.8558,12434716930891.275,,2023-09-17T00:52:04.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-17 03:52:53.032318
3,1839,BNB,BNB,bnb,1624,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153848357.02485874,153848357.02485874,False,,4,,,,2023-09-17T00:51:00.000Z,31211.400198407082,70365294492.34773,0.1058,-0.16166127,-0.04876163,0.21648299,-2.28578547,-11.32678107,-11.5239988,4801822640970.28,3.1215,4801822640971.001,,2023-09-17T00:52:04.000Z,,,,,,2023-09-17 03:52:53.032318
4,52,XRP,XRP,xrp,1086,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53175400720.0,99988428101.0,False,,5,,,,2023-09-17T00:51:00.000Z,72.43972554549565,76347961000.02885,-44.6669,-0.34281264,-0.33155579,-0.75082792,-2.23653696,-36.08084291,2.68906538,3852011433928.5513,2.5037,7243972554549.246,,2023-09-17T00:52:04.000Z,,,,,,2023-09-17 03:52:53.032318
5,3408,USD Coin,USDC,usd-coin,14103,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26163608172.1595,26163608172.1595,False,,6,,,,2023-09-17T00:51:00.000Z,145.52931022910502,248500724499.09393,-35.6458,0.01162995,0.0016343,0.0197463,0.02094633,0.03014961,0.00539881,3807571850398.9478,2.4749,3807571850399.459,,2023-09-17T00:52:04.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-17 03:52:53.032318
6,2010,Cardano,ADA,cardano,934,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35108289975.57,36167977941.125,False,,7,,,,2023-09-17T00:51:00.000Z,36.35124030467161,13105967356.977163,-28.8572,-0.16008111,-0.22292847,-0.53663308,-3.51697559,-19.99359757,-3.75154006,1276229885588.0383,0.8295,1635805813710.5503,,2023-09-17T00:52:04.000Z,,,,,,2023-09-17 03:52:53.032318
7,74,Dogecoin,DOGE,dogecoin,799,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141037426383.70517,141037426383.70517,True,,8,,,,2023-09-17T00:51:00.000Z,9.025433771717847,21312606613.390884,-5.1991,-0.1526663,-0.7178193,-1.79082923,1.29193079,-10.04286694,0.04779483,1272923951159.6624,0.8275,1272923951159.886,,2023-09-17T00:52:04.000Z,,,,,,2023-09-17 03:52:53.032318
8,11419,Toncoin,TON,toncoin,142,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,9,3414166606.0,8146492379.943607,,2023-09-17T00:51:00.000Z,347.1543453219589,12296220515.768475,48.5798,-0.53138276,14.11300341,34.47976864,80.53343839,71.09444613,68.95534189,1191396250893.3318,0.7744,1752281876262.259,,2023-09-17T00:52:04.000Z,,,,,,2023-09-17 03:52:53.032318
9,5426,Solana,SOL,solana,525,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,411266885.7181413,557580598.5504586,True,,10,,,,2023-09-17T00:51:00.000Z,2757.7996218664343,21079056753.25635,-29.8957,-0.91461918,-0.92623025,-1.99467345,-13.22124303,-26.46286751,22.77994264,1134191661919.676,0.7372,1537695563841.9263,,2023-09-17T00:52:04.000Z,,,,,,2023-09-17 03:52:53.032318
10,1958,TRON,TRX,tron,839,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89189760531.22594,89189763820.9587,True,,11,71659659264.0,5979904414.094593,,2023-09-17T00:51:00.000Z,12.141047647586342,21145546585.003105,-26.4579,-0.09289934,-0.78744269,5.66629314,14.24064729,4.32541882,19.21973833,1082857132286.4299,0.7039,1082857172226.9481,,2023-09-17T00:52:04.000Z,,,,,,2023-09-17 03:52:53.032318
11,4943,Dai,DAI,multi-collateral-dai,2576,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-17T00:51:00.000Z,145.47977620289035,7932489158.52113,-42.5925,-0.00624605,-0.02374115,0.02390083,0.04476586,-0.02569742,0.00923956,778009636067.1769,0.5057,778009636066.5985,,2023-09-17T00:52:04.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-17 03:52:53.032318
